152026 ,Perf.,
152026 ,Perf.,3. sg.
155973 ,Impf.,
155973 ,Impf.,3. sg.
155973 ,Impf.,3. pl.
155973 ,Perf.,
155973 ,Perf.,3. sg.
155973 ,Perf.,3. pl.
157940 ,Ind. Pr.,
157940 ,Ind. Pr.,1. sg.
157940 ,Ind. Pr.,3. sg.
157940 ,Ind. Pr.,3. pl.
157940 ,Opt. Pr.,
157940 ,Opt. Pr.,3. sg.
157940 ,Opt. Pr.,3. pl.
157940 ,Imper. Pr.,
157940 ,Imper. Pr.,2. sg.
157940 ,Imper. Pr.,3. pl.
157940 ,Fut.,
157940 ,Fut.,1. sg.
157940 ,Fut.,3. sg.
157940 ,Fut.,3. pl.
157124 ,Opt. Pr.,
157124 ,Opt. Pr.,3. sg.
157124 ,Impf.,
157124 ,Impf.,3. sg.
157124 ,Imper. Pass.,
157124 ,Imper. Pass.,3. sg.
167920 ,Ind. Pr.,
167920 ,Ind. Pr.,3. sg.
167920 ,Ind. Pr.,3. du.
167920 ,Ind. Pr.,3. pl.
167920 ,Opt. Pr.,
167920 ,Opt. Pr.,3. sg.
167920 ,Imper. Pr.,
167920 ,Imper. Pr.,2. sg.
167920 ,Imper. Pr.,3. sg.
167920 ,Impf.,
167920 ,Impf.,3. sg.
167920 ,Fut.,
167920 ,Fut.,3. sg.
130360 ,Opt. Pr.,
130360 ,Opt. Pr.,3. sg.
130360 ,Perf.,
130360 ,Perf.,3. sg.
152131 ,Ind. Pr.,
152131 ,Ind. Pr.,2. sg.
152131 ,Ind. Pr.,3. sg.
152131 ,Ind. Pr.,3. pl.
152131 ,Opt. Pr.,
152131 ,Opt. Pr.,2. sg.
152131 ,Opt. Pr.,3. sg.
152131 ,Opt. Pr.,3. pl.
152131 ,Imper. Pr.,
152131 ,Imper. Pr.,2. sg.
152131 ,Imper. Pr.,3. sg.
152131 ,Fut.,
152131 ,Fut.,3. sg.
152131 ,Ind. Pass.,
152131 ,Ind. Pass.,3. sg.
152131 ,Ind. Pass.,3. pl.
152131 ,Imper. Pass.,
152131 ,Imper. Pass.,3. sg.
152131 ,Opt. P. Pass.,
152131 ,Opt. P. Pass.,3. sg.
123354 ,Ind. Pr.,
123354 ,Ind. Pr.,3. sg.
123354 ,Ind. Pr.,3. pl.
123354 ,Opt. Pr.,
123354 ,Opt. Pr.,1. sg.
123354 ,Opt. Pr.,3. sg.
123354 ,Perf.,
123354 ,Perf.,3. pl.
123354 ,Ind. Pass.,
123354 ,Ind. Pass.,3. sg.
123354 ,Ind. Pass.,3. pl.
123354 ,Impf. Pass.,
123354 ,Impf. Pass.,3. sg.
123354 ,Opt. P. Pass.,
123354 ,Opt. P. Pass.,3. sg.
151864 ,Ind. Pr.,
151864 ,Ind. Pr.,3. pl.
123240 ,Ind. Pr.,
123240 ,Ind. Pr.,1. sg.
123240 ,Ind. Pr.,3. sg.
123240 ,Ind. Pr.,1. pl.
123240 ,Ind. Pr.,3. pl.
123240 ,Opt. Pr.,
123240 ,Opt. Pr.,3. sg.
123240 ,Opt. Pr.,3. pl.
123240 ,Imper. Pr.,
123240 ,Imper. Pr.,2. sg.
123240 ,Impf.,
123240 ,Impf.,3. sg.
123240 ,Fut.,
123240 ,Fut.,1. pl.
123240 ,Perf.,
123240 ,Perf.,3. sg.
123240 ,Perf.,3. pl.
123240 ,Ind. Pass.,
123240 ,Ind. Pass.,3. sg.
123240 ,Ind. Pass.,3. pl.
123240 ,Imper. Pass.,
123240 ,Imper. Pass.,3. sg.
152366 ,Imper. Pr.,
152366 ,Imper. Pr.,2. sg.
119026 ,Ind. Pr.,
119026 ,Ind. Pr.,2. sg.
119026 ,Ind. Pr.,3. sg.
119026 ,Ind. Pr.,3. pl.
119026 ,Opt. Pr.,
119026 ,Opt. Pr.,3. sg.
119026 ,Impf.,
119026 ,Impf.,3. sg.
119026 ,Perf.,
119026 ,Perf.,3. sg.
119026 ,Perf.,3. du.
119026 ,Perf.,3. pl.
151847 ,Ind. Pr.,
151847 ,Ind. Pr.,3. sg.
151847 ,Opt. Pr.,
151847 ,Opt. Pr.,3. sg.
162497 ,Ind. Pass.,
162497 ,Ind. Pass.,3. sg.
157250 ,Opt. Pr.,
157250 ,Opt. Pr.,3. sg.
150214 ,Ind. Pr.,
150214 ,Ind. Pr.,1. sg.
150214 ,Ind. Pr.,2. sg.
150214 ,Ind. Pr.,3. sg.
150214 ,Ind. Pr.,3. du.
150214 ,Ind. Pr.,3. pl.
150214 ,Opt. Pr.,
150214 ,Opt. Pr.,3. sg.
